Name,SPDR S&P 500 ETF Trust (SPY),iShares Core S&P 500 ETF (IVV),Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market ETF (VTI),Invesco QQQ Trust Series I (QQQ),Vanguard FTSE Developed Markets ETF (VEA),Vanguard Growth ETF (VUG),iShares Core MSCI EAFE ETF (IEFA),Vanguard Value ETF (VTV),Vanguard Total Bond Market ETF (BND),iShares Core U.S. Aggregate Bond ETF (AGG),iShares Russell 1000 Growth ETF (IWF),iShares Core S&P Mid-Cap ETF (IJH),iShares Core S&P Small Cap ETF (IJR),Vanguard Dividend Appreciation ETF (VIG),Vanguard FTSE Emerging Markets ETF (VWO),iShares Core MSCI Emerging Markets ETF (IEMG),Vanguard Total International Stock ETF (VXUS),Vanguard Information Technology ETF (VGT),Technology Select Sector SPDR Fund (XLK)
Symbol,SPY,IVV,VOO,VTI,QQQ,VEA,VUG,IEFA,VTV,BND,AGG,IWF,IJH,IJR,VIG,VWO,IEMG,VXUS,VGT,XLK
Type,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF 
Jurisdiction,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
19931130,-0.0106734716218524,,,,,,,,,,,,,,,,,,,
19931231,0.0122769194739434,,,,,,,,,,,,,,,,,,,
19940131,0.034876127937129,,,,,,,,,,,,,,,,,,,
19940228,-0.0291640421464308,,,,,,,,,,,,,,,,,,,
19940331,-0.0419019320725322,,,,,,,,,,,,,,,,,,,
19940429,0.0112128898812434,,,,,,,,,,,,,,,,,,,
19940531,0.0159389068956175,,,,,,,,,,,,,,,,,,,
19940630,-0.0229139950419275,,,,,,,,,,,,,,,,,,,
19940729,0.0323260973297455,,,,,,,,,,,,,,,,,,,
19940831,0.0381205827623219,,,,,,,,,,,,,,,,,,,
19940930,-0.0252547234125573,,,,,,,,,,,,,,,,,,,
19941031,0.0284256772598268,,,,,,,,,,,,,,,,,,,
19941130,-0.0398148944510512,,,,,,,,,,,,,,,,,,,
19941230,0.00728215284726352,,,,,,,,,,,,,,,,,,,
19950131,0.0336076569779451,,,,,,,,,,,,,,,,,,,
19950228,0.0408095157470718,,,,,,,,,,,,,,,,,,,
19950331,0.0278479959607314,,,,,,,,,,,,,,,,,,,
19950428,0.0296223292533566,,,,,,,,,,,,,,,,,,,
19950531,0.0396735192933846,,,,,,,,,,,,,,,,,,,
19950630,0.020229460819807,,,,,,,,,,,,,,,,,,,
19950731,0.0321653589302719,,,,,,,,,,,,,,,,,,,
19950831,0.0044520680679363,,,,,,,,,,,,,,,,,,,
19950929,0.0423763780902418,,,,,,,,,,,,,,,,,,,
19951031,-0.00293904648006737,,,,,,,,,,,,,,,,,,,
19951130,0.0444798094190257,,,,,,,,,,,,,,,,,,,
19951229,0.0157333253363705,,,,,,,,,,,,,,,,,,,
19960131,0.0355781902388375,,,,,,,,,,,,,,,,,,,
19960229,0.00318990458995372,,,,,,,,,,,,,,,,,,,
19960329,0.0172184082750113,,,,,,,,,,,,,,,,,,,
19960430,0.0108695694645893,,,,,,,,,,,,,,,,,,,
19960531,0.0227000852998671,,,,,,,,,,,,,,,,,,,
19960628,0.00882217542225794,,,,,,,,,,,,,,,,,,,
19960731,-0.0449363881507652,,,,,,,,,,,,,,,,,,,
19960830,0.0192592550458441,,,,,,,,,,,,,,,,,,,
19960930,0.0558719356680193,,,,,,,,,,,,,,,,,,,
19961031,0.0323320944094787,,,,,,,,,,,,,,,,,,,
19961129,0.0730029970227502,,,,,,,,,,,,,,,,,,,
19961231,-0.023797105464841,,,,,,,,,,,,,,,,,,,
19970131,0.0617863419922322,,,,,,,,,,,,,,,,,,,
19970228,0.009564978941633,,,,,,,,,,,,,,,,,,,
19970331,-0.0441223397543668,,,,,,,,,,,,,,,,,,,
19970430,0.0626038858168523,,,,,,,,,,,,,,,,,,,
19970530,0.0632065758052516,,,,,,,,,,,,,,,,,,,
19970630,0.0411029777682914,,,,,,,,,,,,,,,,,,,
19970731,0.0792639868050336,,,,,,,,,,,,,,,,,,,
19970829,-0.0518035823246483,,,,,,,,,,,,,,,,,,,
19970930,0.0480906827065286,,,,,,,,,,,,,,,,,,,
19971031,-0.0245036482769241,,,,,,,,,,,,,,,,,,,
19971128,0.038696371622037,,,,,,,,,,,,,,,,,,,
19971231,0.019071970598719,,,,,,,,,,,,,,,,,,,
19980130,0.0128789792027073,,,,,,,,,,,,,,,,,,,
19980227,0.0692936331644807,,,,,,,,,,,,,,,,,,,
19980331,0.0487835248137574,,,,,,,,,,,,,,,,,,,
19980430,0.0127914514071919,,,,,,,,,,,,,,,,,,,
19980529,-0.0207689829599681,,,,,,,,,,,,,,,,,,,
19980630,0.0425735370520302,,,,,,,,,,,,,,,,,,,
19980731,-0.0135141673086984,,,,,,,,,,,,,,,,,,,
19980831,-0.14117916574392,,,,,,,,,,,,,,,,,,,
19980930,0.063640069166512,,,,,,,,,,,,,,,,,,,
19981030,0.0810802942873112,,,,,,,,,,,,,,,,,,,
19981130,0.0556814404468817,,,,,,,,,,,,,,,,,,,
19981231,0.0654226212578908,,,,,,,,,,,,,,,,,,,
19990129,0.0352254805773768,,,,,,,,,,,,,,,,,,,0.159003984247052
19990226,-0.0320686751253134,,,,,,,,,,,,,,,,,,,-0.0991732111782382
19990331,0.041468035839084,,,,,,,,,,,,,,,,,,,0.0743114101324689
19990430,0.0379744300389546,,,,0.0238236836723194,,,,,,,,,,,,,,,0.00597733406159207
19990528,-0.02286575189045,,,,-0.0314136274562783,,,,,,,,,,,,,,,0.0033955713058571
19990630,0.055378817311986,,,,0.107507697664947,,,,,,,,,,,,,,,0.0960240309590563
19990730,-0.0310221302298437,,,,-0.0178957629068167,,,,,,,,,,,,,,,-0.0115788497945781
19990831,-0.00517887844330145,,,,0.0546658884224205,,,,,,,,,,,,,,,0.0351430888660114
19990930,-0.022336903155542,,,,0.00837687891978045,,,,,,,,,,,,,,,-0.0041496571772639
