date,name,return
19801231,CRY103 - Amethyst Arbitrage Fund Class F,missing
19801231,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19801231,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19801231,ECM100 - King & Victoria RSP Fund Class A Units,missing
19801231,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19801231,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19801231,KAI103 - KAI Core Equity Pool Class O,missing
19801231,KAI303 - KAI Core Listed Equity Pool Class O,missing
19801231,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19801231,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19801231,LWP214 - Lightwater Nimble Fund Class O,missing
19801231,MAJ263 - Northfront Equity Fund Series N,missing
19801231,MAJ364 - Evovest Global Equity Fund Series E,missing
19801231,MAJ603 - Limpid Global Fund Series S,missing
19801231,MAJ868 - TURN8 Alternative Fund Series T,missing
19801231,MBP109 - MFS Canadian Fixed Income Fund,missing
19801231,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19801231,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19801231,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19801231,PTL054 - Portland Focused Plus Fund LP Series P,missing
19801231,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19801231,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19801231,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19801231,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19801231,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810130,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810130,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810130,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810130,CCL951 - CC&L Absolute Return Fund Series F,missing
19810130,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810130,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810130,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810130,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810130,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810130,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810130,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810130,KAI103 - KAI Core Equity Pool Class O,missing
19810130,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810130,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810130,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810130,LWP214 - Lightwater Nimble Fund Class O,missing
19810130,MAJ263 - Northfront Equity Fund Series N,missing
19810130,MAJ364 - Evovest Global Equity Fund Series E,missing
19810130,MAJ603 - Limpid Global Fund Series S,missing
19810130,MAJ868 - TURN8 Alternative Fund Series T,missing
19810130,MBP109 - MFS Canadian Fixed Income Fund,0.004004
19810130,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810130,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810130,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810130,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810130,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810130,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810130,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810130,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810130,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810227,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810227,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810227,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810227,CCL951 - CC&L Absolute Return Fund Series F,missing
19810227,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810227,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810227,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810227,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810227,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810227,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810227,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810227,KAI103 - KAI Core Equity Pool Class O,missing
19810227,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810227,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810227,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810227,LWP214 - Lightwater Nimble Fund Class O,missing
19810227,MAJ263 - Northfront Equity Fund Series N,missing
19810227,MAJ364 - Evovest Global Equity Fund Series E,missing
19810227,MAJ603 - Limpid Global Fund Series S,missing
19810227,MAJ868 - TURN8 Alternative Fund Series T,missing
19810227,MBP109 - MFS Canadian Fixed Income Fund,-0.011964
19810227,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810227,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810227,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810227,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810227,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810227,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810227,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810227,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810227,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810331,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810331,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810331,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810331,CCL951 - CC&L Absolute Return Fund Series F,missing
19810331,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810331,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810331,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810331,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810331,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810331,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810331,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810331,KAI103 - KAI Core Equity Pool Class O,missing
19810331,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810331,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810331,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810331,LWP214 - Lightwater Nimble Fund Class O,missing
19810331,MAJ263 - Northfront Equity Fund Series N,missing
19810331,MAJ364 - Evovest Global Equity Fund Series E,missing
19810331,MAJ603 - Limpid Global Fund Series S,missing
19810331,MAJ868 - TURN8 Alternative Fund Series T,missing
19810331,MBP109 - MFS Canadian Fixed Income Fund,0.008073
19810331,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810331,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810331,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810331,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810331,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810331,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810331,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810331,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810331,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810430,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810430,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810430,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810430,CCL951 - CC&L Absolute Return Fund Series F,missing
19810430,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810430,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810430,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810430,DON201 - Donville Kent Capital Ideas Fund Class A,missing
